"Batting_Team","Striker","Season","Stadium","Runs","Dismissed","Balls","Bowling_Team","Average","Strike_Rate"
"Chennai Super Kings","Jacob Oram",2008,"Punjab Cricket Association Stadium",13,1,10,"All",13,130
"Chennai Super Kings","Jacob Oram",2009,"De Beers Diamond Oval",1,0,2,"All",Inf,50
"Chennai Super Kings","Jacob Oram",2009,"Kingsmead",65,2,65,"All",32.5,100
"Chennai Super Kings","Jacob Oram",2009,"New Wanderers Stadium",12,2,14,"All",6,85.7142857142857
"Chennai Super Kings","Jacob Oram",2009,"Newlands",8,1,6,"All",8,133.333333333333
"Chennai Super Kings","Jacob Oram",2009,"SuperSport Park",2,1,6,"All",2,33.3333333333333
"Chennai Super Kings","Joginder Sharma",2008,"MA Chidambaram Stadium",16,1,10,"All",16,160
"Chennai Super Kings","Joginder Sharma",2008,"Sawai Mansingh Stadium",0,1,1,"All",0,0
"Chennai Super Kings","Joginder Sharma",2009,"Kingsmead",4,1,3,"All",4,133.333333333333
"Chennai Super Kings","Joginder Sharma",2009,"Newlands",16,0,15,"All",Inf,106.666666666667
"Chennai Super Kings","Joginder Sharma",2011,"Wankhede Stadium",0,1,1,"All",0,0
