"Striker","Season","Batting_Team","Bowling_Team","Stadium","Runs","Dismissed","Balls","Run_Out","Bowler","Average","Strike_Rate"
"AB de Villiers",2021,"Royal Challengers Bangalore","Kolkata Knight Riders","MA Chidambaram Stadium",76,0,34,0,"All",Inf,223.529411764706
"AB de Villiers",2021,"Royal Challengers Bangalore","Kolkata Knight Riders","Sharjah Cricket Stadium",11,1,9,0,"All",11,122.222222222222
"AB de Villiers",2021,"Royal Challengers Bangalore","Kolkata Knight Riders","Zayed Cricket Stadium",0,1,1,0,"All",0,0
"AB de Villiers",2021,"Royal Challengers Bangalore","Mumbai Indians","Dubai International Cricket Stadium",11,1,6,0,"All",11,183.333333333333
"AB de Villiers",2021,"Royal Challengers Bangalore","Mumbai Indians","MA Chidambaram Stadium",48,1,27,1,"All",Inf,177.777777777778
"AB de Villiers",2021,"Royal Challengers Bangalore","Punjab Kings","Narendra Modi Stadium",3,1,9,0,"All",3,33.3333333333333
"AB de Villiers",2021,"Royal Challengers Bangalore","Punjab Kings","Sharjah Cricket Stadium",23,1,18,1,"All",Inf,127.777777777778
"AB de Villiers",2021,"Royal Challengers Bangalore","Rajasthan Royals","Dubai International Cricket Stadium",4,0,1,0,"All",Inf,400
"AB de Villiers",2021,"Royal Challengers Bangalore","Sunrisers Hyderabad","MA Chidambaram Stadium",1,1,5,0,"All",1,20
"AB de Villiers",2021,"Royal Challengers Bangalore","Sunrisers Hyderabad","Zayed Cricket Stadium",19,0,13,0,"All",Inf,146.153846153846
"Aakash Chopra",2008,"Kolkata Knight Riders","Deccan Chargers","Rajiv Gandhi International Stadium",24,1,23,1,"All",Inf,104.347826086957
"Aakash Chopra",2008,"Kolkata Knight Riders","Delhi Capitals","Eden Gardens",13,1,17,0,"All",13,76.4705882352941
"Aakash Chopra",2008,"Kolkata Knight Riders","Mumbai Indians","Wankhede Stadium",1,1,4,1,"All",Inf,25
"Aakash Chopra",2008,"Kolkata Knight Riders","Punjab Kings","Eden Gardens",2,1,3,0,"All",2,66.6666666666667
"Aakash Chopra",2008,"Kolkata Knight Riders","Royal Challengers Bangalore","Eden Gardens",2,1,5,0,"All",2,40
"Aakash Chopra",2009,"Kolkata Knight Riders","Deccan Chargers","Newlands",11,1,19,0,"All",11,57.8947368421053
"Aaron Finch",2010,"Rajasthan Royals","Kolkata Knight Riders","Eden Gardens",21,1,21,0,"All",21,100
"Aaron Finch",2011,"Delhi Capitals","Deccan Chargers","Feroz Shah Kotla",0,1,1,0,"All",0,0
"Aaron Finch",2011,"Delhi Capitals","Deccan Chargers","Rajiv Gandhi International Stadium",0,1,2,0,"All",0,0
"Aaron Finch",2011,"Delhi Capitals","Mumbai Indians","Feroz Shah Kotla",8,1,12,0,"All",8,66.6666666666667
"Aaron Finch",2011,"Delhi Capitals","Pune Warriors","Dr DY Patil Sports Academy",25,1,12,0,"All",25,208.333333333333
"Aaron Finch",2011,"Delhi Capitals","Punjab Kings","Feroz Shah Kotla",3,1,5,0,"All",3,60
"Aaron Finch",2011,"Delhi Capitals","Rajasthan Royals","Sawai Mansingh Stadium",11,1,14,0,"All",11,78.5714285714286
"Aaron Finch",2012,"Delhi Capitals","Kolkata Knight Riders","Eden Gardens",30,1,27,0,"All",30,111.111111111111
"Aaron Finch",2012,"Delhi Capitals","Royal Challengers Bangalore","M Chinnaswamy Stadium",25,1,24,0,"All",25,104.166666666667
"Aaron Finch",2013,"Pune Warriors","Chennai Super Kings","MA Chidambaram Stadium",67,1,45,0,"All",67,148.888888888889
"Aaron Finch",2013,"Pune Warriors","Chennai Super Kings","Subrata Roy Sahara Stadium",15,1,9,0,"All",15,166.666666666667
"Aaron Finch",2013,"Pune Warriors","Delhi Capitals","Shaheed Veer Narayan Singh International Stadium",37,1,33,0,"All",37,112.121212121212
"Aaron Finch",2013,"Pune Warriors","Delhi Capitals","Subrata Roy Sahara Stadium",52,1,34,0,"All",52,152.941176470588
"Aaron Finch",2013,"Pune Warriors","Kolkata Knight Riders","JSCA International Stadium Complex",48,1,32,0,"All",48,150
"Aaron Finch",2013,"Pune Warriors","Kolkata Knight Riders","Subrata Roy Sahara Stadium",5,1,5,0,"All",5,100
"Aaron Finch",2013,"Pune Warriors","Mumbai Indians","Subrata Roy Sahara Stadium",10,1,11,0,"All",10,90.9090909090909
"Aaron Finch",2013,"Pune Warriors","Mumbai Indians","Wankhede Stadium",0,1,1,0,"All",0,0
"Aaron Finch",2013,"Pune Warriors","Punjab Kings","Punjab Cricket Association Stadium",64,1,42,0,"All",64,152.380952380952
"Aaron Finch",2013,"Pune Warriors","Rajasthan Royals","Sawai Mansingh Stadium",45,1,32,0,"All",45,140.625
"Aaron Finch",2013,"Pune Warriors","Rajasthan Royals","Subrata Roy Sahara Stadium",64,1,53,0,"All",64,120.754716981132
"Aaron Finch",2013,"Pune Warriors","Royal Challengers Bangalore","M Chinnaswamy Stadium",18,1,15,0,"All",18,120
"Aaron Finch",2013,"Pune Warriors","Royal Challengers Bangalore","Subrata Roy Sahara Stadium",15,1,11,0,"All",15,136.363636363636
"Aaron Finch",2013,"Pune Warriors","Sunrisers Hyderabad","Subrata Roy Sahara Stadium",16,1,13,0,"All",16,123.076923076923
"Aaron Finch",2014,"Sunrisers Hyderabad","Chennai Super Kings","JSCA International Stadium Complex",7,1,3,1,"All",Inf,233.333333333333
"Aaron Finch",2014,"Sunrisers Hyderabad","Chennai Super Kings","Sharjah Cricket Stadium",44,1,45,0,"All",44,97.7777777777778
"Aaron Finch",2014,"Sunrisers Hyderabad","Delhi Capitals","Dubai International Cricket Stadium",88,0,53,0,"All",Inf,166.037735849057
"Aaron Finch",2014,"Sunrisers Hyderabad","Delhi Capitals","Feroz Shah Kotla",4,1,7,0,"All",4,57.1428571428571
"Aaron Finch",2014,"Sunrisers Hyderabad","Kolkata Knight Riders","Rajiv Gandhi International Stadium",8,1,8,0,"All",8,100
"Aaron Finch",2014,"Sunrisers Hyderabad","Mumbai Indians","Dubai International Cricket Stadium",16,1,15,0,"All",16,106.666666666667
"Aaron Finch",2014,"Sunrisers Hyderabad","Mumbai Indians","Rajiv Gandhi International Stadium",68,1,62,0,"All",68,109.677419354839
